2025-07-28 23:10:43,418 |    INFO | __main__ | 🔖  Logging to logs/whisper_tiny_cv_fully_synthetic_nl_20250728_231043.log
2025-07-28 23:10:43,627 |    INFO | root | Using device: cuda
2025-07-28 23:10:43,627 |    INFO | root | Using model: yuriyvnv/whisper-tiny-cv-fully-synthetic-nl
2025-07-28 23:10:43,627 |    INFO | root | Loading model... 🎯
2025-07-28 23:10:46,160 |    INFO | root | Using device: cuda 💻
2025-07-28 23:10:46,160 |    INFO | root | Loading Common Voice 17.0 dataset... 📊
2025-07-28 23:10:46,458 |   ERROR | root |  README.md:   0%|          | 0.00/12.7k [00:00<?, ?B/s]
2025-07-28 23:29:45,220 |    INFO | root | Deze situatie moet verbeteren.
2025-07-28 23:29:45,220 |    INFO | root | Deze situatie moet verbeteren.
2025-07-28 23:29:45,294 |    INFO | root | Het eerste is uitstekend gelukt.
2025-07-28 23:29:45,294 |    INFO | root | Het eerste is uitstekend gelukt.
2025-07-28 23:29:45,294 |   ERROR | root | Processing validation:  99%|#########8| 11122/11252 [17:17<00:10, 11.99it/s]
2025-07-28 23:29:45,433 |    INFO | root | Uiteraard is deze resolutie hier een uiting van en ik heb natuurlijk voor gestemd.
2025-07-28 23:29:45,433 |    INFO | root | Uiteraard is deze resolutie hier een uiting van en ik heb natuurlijk vóór gestemd.
2025-07-28 23:29:45,510 |    INFO | root | Berspellingen erover zijn vaak zeer bedreigend.
2025-07-28 23:29:45,510 |    INFO | root | Voorspellingen daarover zijn vaak zeer bedreigend.
2025-07-28 23:29:45,511 |   ERROR | root | Processing validation:  99%|#########8| 11124/11252 [17:17<00:11, 11.00it/s]
2025-07-28 23:29:45,591 |    INFO | root | Dat is in onze internationale verdragverplichtingen.
2025-07-28 23:29:45,592 |    INFO | root | Dat zijn onze internationale verdragsverplichtingen.
2025-07-28 23:29:45,715 |    INFO | root | Ergenoog, we zouden met ons beleid wellicht zelfs uitnodigen tot fraude en misbruik.
2025-07-28 23:29:45,716 |    INFO | root | Erger nog, we zouden met ons beleid wellicht zelfs uitnodigen tot fraude en misbruik.
2025-07-28 23:29:45,716 |   ERROR | root | Processing validation:  99%|#########8| 11126/11252 [17:18<00:11, 10.60it/s]
2025-07-28 23:29:45,766 |    INFO | root | Ik heb echter nog drie vragen.
2025-07-28 23:29:45,766 |    INFO | root | Ik heb echter nog drie vragen.
2025-07-28 23:29:45,848 |    INFO | root | Welnu, dat is eenmaal zo en je kunt er niets aan doen.
2025-07-28 23:29:45,848 |    INFO | root | Welnu, dat is eenmaal zo en je kunt er niets aan doen.
2025-07-28 23:29:45,848 |   ERROR | root | Processing validation:  99%|#########8| 11128/11252 [17:18<00:10, 11.63it/s]
2025-07-28 23:29:45,919 |    INFO | root | De wind te nadeert, zoals iedereen al gezegd heeft.
2025-07-28 23:29:45,919 |    INFO | root | De winter nadert zoals iedereen al gezegd heeft.
2025-07-28 23:29:46,034 |    INFO | root | Maar terecht redenerend heb ik zo mijn vraag zeker dat ik het bij deze verondersteuning.
2025-07-28 23:29:46,034 |    INFO | root | Maar terug redenerend heb ik zo mijn vraagtekens bij deze vooronderstelling.
2025-07-28 23:29:46,034 |   ERROR | root | Processing validation:  99%|#########8| 11130/11252 [17:18<00:10, 11.36it/s]
2025-07-28 23:29:46,147 |    INFO | root | Maar vragen zij af, zou u uw spaar geld toe vertrouwen aan politici als bankiers?
2025-07-28 23:29:46,147 |    INFO | root | Maar vraag uzelf af, zou u uw spaargeld toevertrouwen aan politici als bankiers?
2025-07-28 23:29:46,205 |    INFO | root | U kunt dit betreuren, maar zo is het.
2025-07-28 23:29:46,205 |    INFO | root | U kunt dit betreuren, maar zo is het.
2025-07-28 23:29:46,205 |   ERROR | root | Processing validation:  99%|#########8| 11132/11252 [17:18<00:10, 11.45it/s]
2025-07-28 23:29:46,302 |    INFO | root | Mijn advies heeft u daar niemand steun getregen.
2025-07-28 23:29:46,302 |    INFO | root | Mijn advies heeft unanieme steun gekregen.
2025-07-28 23:29:46,431 |    INFO | root | Commissaris, we plait hier absoluut geen protectionisme, maar het is tijd voor actie.
2025-07-28 23:29:46,431 |    INFO | root | Commissaris, ik bepleit hier absoluut geen protectionisme, maar het is tijd voor actie.
2025-07-28 23:29:46,431 |   ERROR | root | Processing validation:  99%|#########8| 11134/11252 [17:18<00:11, 10.53it/s]
2025-07-28 23:29:46,512 |    INFO | root | Legeringen dienen minder willekeurig te werk te gaan.
2025-07-28 23:29:46,513 |    INFO | root | Regeringen dienen minder willekeurig te werk te gaan.
2025-07-28 23:29:46,562 |    INFO | root | De begroting was niet gemakkelijk.
2025-07-28 23:29:46,563 |    INFO | root | De begroting was niet gemakkelijk.
2025-07-28 23:29:46,563 |   ERROR | root | Processing validation:  99%|#########8| 11136/11252 [17:18<00:10, 11.60it/s]
2025-07-28 23:29:46,686 |    INFO | root | In het verslag worden we dus waar eveneens nauw gezet de mogelijke negatieve effecten aangegeven.
2025-07-28 23:29:46,686 |    INFO | root | In het verslag worden weliswaar eveneens nauwgezet de mogelijke negatieve effecten aangegeven.
2025-07-28 23:29:46,782 |    INFO | root | Daarom hebben wij ons bij de stemming over dit verslag onthouden van stemming.
2025-07-28 23:29:46,782 |    INFO | root | Daarom hebben wij ons bij de stemming over dit verslag onthouden van stemming.
2025-07-28 23:29:46,783 |   ERROR | root | Processing validation:  99%|#########8| 11138/11252 [17:19<00:10, 10.71it/s]
2025-07-28 23:29:46,856 |    INFO | root | Ik wens de onbedman hierbij veel succes toe.
2025-07-28 23:29:46,856 |    INFO | root | Ik wens de ombudsman hierbij veel succes toe.
2025-07-28 23:29:46,945 |    INFO | root | Ik wil daarom zakelijk iets vaststellen zonder demagogisch te zijn.
2025-07-28 23:29:46,945 |    INFO | root | Ik wil daarom zakelijk iets vaststellen zonder demagogisch te zijn.
2025-07-28 23:29:46,945 |   ERROR | root | Processing validation:  99%|#########9| 11140/11252 [17:19<00:10, 11.15it/s]
2025-07-28 23:29:47,061 |    INFO | root | Hierbij mag de ondersteuning van familieleden en zorgverleners niet uit het oog worden verloren.
2025-07-28 23:29:47,061 |    INFO | root | Hierbij mag de ondersteuning van familieleden en zorgverleners niet uit het oog worden verloren.
2025-07-28 23:29:47,115 |    INFO | root | Dit is een identiteitscrisis.
2025-07-28 23:29:47,115 |    INFO | root | Dit is een identiteitscrisis.
2025-07-28 23:29:47,115 |   ERROR | root | Processing validation:  99%|#########9| 11142/11252 [17:19<00:09, 11.32it/s]
2025-07-28 23:29:47,212 |    INFO | root | Dat lijkt mij een uitermate redelijk standpunt.
2025-07-28 23:29:47,212 |    INFO | root | Dat lijkt mij een uitermate redelijk standpunt.
2025-07-28 23:29:47,355 |    INFO | root | Volks vraagt wij een sterkere coördinatie van het economisch en werkgelegenheidsbeleid.
2025-07-28 23:29:47,355 |    INFO | root | Voorts vragen wij een sterkere coördinatie van het economisch en werkgelegenheidsbeleid.
2025-07-28 23:29:47,355 |   ERROR | root | Processing validation:  99%|#########9| 11144/11252 [17:19<00:10, 10.23it/s]
2025-07-28 23:29:47,455 |    INFO | root | Eerlijk gezegd ben ik me nogal gemengde gevoelens teruggekomen.
2025-07-28 23:29:47,455 |    INFO | root | Eerlijk gezegd ben ik met nogal gemengde gevoelens teruggekomen.
2025-07-28 23:29:47,548 |    INFO | root | Met de goedkeuring van dit amendement krijgt dit beleid concreter vorm.
2025-07-28 23:29:47,548 |    INFO | root | Met de goedkeuring van dit amendement krijgt dit beleid concrete vorm.
2025-07-28 23:29:47,548 |   ERROR | root | Processing validation:  99%|#########9| 11146/11252 [17:19<00:10, 10.27it/s]
2025-07-28 23:29:47,613 |    INFO | root | Dat is een bijzonder ernstige ontwikkeling.
2025-07-28 23:29:47,613 |    INFO | root | Dat is een bijzonder ernstige ontwikkeling.
2025-07-28 23:29:47,730 |    INFO | root | Ik wil graag drie onderwerpen aankuiten die ik ten onderweg ten niet instaan.
2025-07-28 23:29:47,730 |    INFO | root | Ik wil graag drie onderwerpen aankaarten, die er ten onrechte niet in staan.
2025-07-28 23:29:47,730 |   ERROR | root | Processing validation:  99%|#########9| 11148/11252 [17:20<00:09, 10.47it/s]
2025-07-28 23:29:47,791 |    INFO | root | Kon ik toen nog iets anders dan worden document stellen?
2025-07-28 23:29:47,791 |    INFO | root | Kon ik toen nog iets anders dan voor dit document stemmen?
2025-07-28 23:29:47,877 |    INFO | root | Een derde punt, democratisering.
2025-07-28 23:29:47,877 |    INFO | root | Een derde punt: democratisering.
2025-07-28 23:29:47,877 |   ERROR | root | Processing validation:  99%|#########9| 11150/11252 [17:20<00:09, 11.24it/s]
2025-07-28 23:29:47,931 |    INFO | root | Doch is er iets goed uitgekomen.
2025-07-28 23:29:47,931 |    INFO | root | Toch is er iets goeds uitgekomen.
2025-07-28 23:29:48,024 |    INFO | root | In de resolutie worden ook probleem gebieden genoemd.
2025-07-28 23:29:48,024 |    INFO | root | In de resolutie worden ook probleemgebieden genoemd.
2025-07-28 23:29:48,024 |   ERROR | root | Processing validation:  99%|#########9| 11152/11252 [17:20<00:08, 11.87it/s]
2025-07-28 23:29:48,132 |    INFO | root | Hij lijkt erop dat we deze kleine discussies naar elke reden voering van mij hebben.
2025-07-28 23:29:48,132 |    INFO | root | Het lijkt erop dat we deze kleine discussies na elke redevoering van mij hebben.
2025-07-28 23:29:48,252 |    INFO | root | Geen wonder dat zij al begreerig uitkijken naar nog grotere, betere en consistentere markten.
2025-07-28 23:29:48,252 |    INFO | root | Geen wonder dat zij al begerig uitkijken naar nog grotere, betere en consistentere markten.
2025-07-28 23:29:48,252 |   ERROR | root | Processing validation:  99%|#########9| 11154/11252 [17:20<00:09, 10.72it/s]
2025-07-28 23:29:48,353 |    INFO | root | Tenslotte nog iets, wat kunnen wij doen aan de proliferatie van de agentschappen?
2025-07-28 23:29:48,353 |    INFO | root | Tenslotte nog iets, wat kunnen wij doen aan de proliferatie van de agentschappen?
2025-07-28 23:29:48,431 |    INFO | root | Natuurlijk zijn de ongelijkheden op wereld gaan enorm groot.
2025-07-28 23:29:48,431 |    INFO | root | Natuurlijk zijn de ongelijkheden op wereldschaal enorm groot.
2025-07-28 23:29:48,431 |   ERROR | root | Processing validation:  99%|#########9| 11156/11252 [17:20<00:08, 10.87it/s]
2025-07-28 23:29:48,549 |    INFO | root | Met name voor de metalen is het resultaat van de toegepaste methode diskutabel.
2025-07-28 23:29:48,549 |    INFO | root | Met name voor de metalen is het resultaat van de toegepaste methode discutabel.
2025-07-28 23:29:48,604 |    INFO | root | Dat moet dus eerst allemaal nog gebeuren.
2025-07-28 23:29:48,604 |    INFO | root | Dat moet dus eerst allemaal nog gebeuren.
2025-07-28 23:29:48,604 |   ERROR | root | Processing validation:  99%|#########9| 11158/11252 [17:20<00:08, 11.06it/s]
2025-07-28 23:29:48,717 |    INFO | root | Zo waren gevlucht voor de tragedie die een land heeft getroffen.
2025-07-28 23:29:48,717 |    INFO | root | Ze waren gevlucht voor de tragedie die hun land heeft getroffen.
2025-07-28 23:29:48,794 |    INFO | root | Daar mogen we het echter niet bij laten.
2025-07-28 23:29:48,794 |    INFO | root | Daar mogen we het echter niet bij laten.
2025-07-28 23:29:48,794 |   ERROR | root | Processing validation:  99%|#########9| 11160/11252 [17:21<00:08, 10.89it/s]
2025-07-28 23:29:48,886 |    INFO | root | Wij kunnen instemmen met dit initiatief.
2025-07-28 23:29:48,886 |    INFO | root | Wij kunnen instemmen met dit initiatief.
2025-07-28 23:29:48,962 |    INFO | root | Ik hoop dat de structuurfondsen worden gecorrigeerd.
2025-07-28 23:29:48,963 |    INFO | root | Ik hoop dat de structuurfondsen worden gecorrigeerd.
2025-07-28 23:29:48,963 |   ERROR | root | Processing validation:  99%|#########9| 11162/11252 [17:21<00:08, 11.17it/s]
2025-07-28 23:29:49,040 |    INFO | root | Ik dank u voor uw medewerking en voor uw aandacht.
2025-07-28 23:29:49,040 |    INFO | root | Ik dank u voor uw medewerking en voor uw aandacht.
2025-07-28 23:29:49,148 |    INFO | root | Vanuit een economisch en sociaal perspectief zal het dus voor hen ertijd moeilijk worden.
2025-07-28 23:29:49,148 |    INFO | root | Vanuit een economisch en sociaal perspectief zal het dus voor hen uiterst moeilijk worden.
2025-07-28 23:29:49,148 |   ERROR | root | Processing validation:  99%|#########9| 11164/11252 [17:21<00:07, 11.05it/s]
2025-07-28 23:29:49,259 |    INFO | root | De politieke elite van tegenwoordig legt niet terug de deinzen voor zultbedrog.
2025-07-28 23:29:49,259 |    INFO | root | De politieke elite van tegenwoordig lijkt niet terug te deinzen voor zulk bedrog.
2025-07-28 23:29:49,355 |    INFO | root | We kunnen daarom deze wederzijds schoudenklopjes niet ondersteunen.
2025-07-28 23:29:49,355 |    INFO | root | We kunnen daarom deze wederzijdse schouderklopjes niet ondersteunen.
2025-07-28 23:29:49,355 |   ERROR | root | Processing validation:  99%|#########9| 11166/11252 [17:21<00:08, 10.59it/s]
2025-07-28 23:29:49,420 |    INFO | root | Wat hebben de kiezers ontmeden gedeeld?
2025-07-28 23:29:49,420 |    INFO | root | Wat hebben de kiezers ons medegedeeld?
2025-07-28 23:29:49,535 |    INFO | root | Ik van de unanimiteit binnen de steurgroep de zeer bemoedigend.
2025-07-28 23:29:49,535 |    INFO | root | Ik vond de unanimiteit binnen de stuurgroep zeer bemoedigend.
2025-07-28 23:29:49,535 |   ERROR | root | Processing validation:  99%|#########9| 11168/11252 [17:21<00:07, 10.74it/s]
2025-07-28 23:29:49,604 |    INFO | root | Dat moet ook in alle redelijkheid gezegd worden.
2025-07-28 23:29:49,604 |    INFO | root | Dat moet ook in alle redelijkheid gezegd worden.
2025-07-28 23:29:49,740 |    INFO | root | Ten eerste wordt daarin vermeld de nooddaken van harmonisatie van een paar strafbepalingen.
2025-07-28 23:29:49,740 |    INFO | root | Ten eerste wordt daarin vermeld de noodzaak van harmonisatie van een paar strafbepalingen.
2025-07-28 23:29:49,740 |   ERROR | root | Processing validation:  99%|#########9| 11170/11252 [17:22<00:07, 10.43it/s]
2025-07-28 23:29:49,790 |    INFO | root | Dat is volkomen duidelijk.
2025-07-28 23:29:49,790 |    INFO | root | Dat is volkomen duidelijk.
2025-07-28 23:29:49,925 |    INFO | root | We moeten een goede dagd en samen aan het geheel van regels in te creëren.
2025-07-28 23:29:49,925 |    INFO | root | We moeten een goed doordacht en samenhangend geheel van regels zien te creëren.
2025-07-28 23:29:49,925 |   ERROR | root | Processing validation:  99%|#########9| 11172/11252 [17:22<00:07, 10.54it/s]
2025-07-28 23:29:50,039 |    INFO | root | Ik zou u dan ook willen verzoeken deze nalatigheid van mijnentwegen recht te zetten.
2025-07-28 23:29:50,039 |    INFO | root | Ik zou u dan ook willen verzoeken deze nalatigheid van mijnentwege recht te zetten.
2025-07-28 23:29:50,131 |    INFO | root | Betekken dit dat er eerst de richtlijn ondoeltreffend was?
2025-07-28 23:29:50,131 |    INFO | root | Betekent dit dat de eerste richtlijn ondoeltreffend was?
2025-07-28 23:29:50,131 |   ERROR | root | Processing validation:  99%|#########9| 11174/11252 [17:22<00:07, 10.28it/s]
2025-07-28 23:29:50,219 |    INFO | root | Ik wil echter wel graag een aantal kanttekeningen plaatsen.
2025-07-28 23:29:50,219 |    INFO | root | Ik wil echter wel graag een aantal kanttekeningen plaatsen.
2025-07-28 23:29:50,304 |    INFO | root | Dit zijn de eisen van de parlementaire commissie.
2025-07-28 23:29:50,304 |    INFO | root | Dit zijn de eisen van de parlementaire commissie.
2025-07-28 23:29:50,304 |   ERROR | root | Processing validation:  99%|#########9| 11176/11252 [17:22<00:07, 10.63it/s]
2025-07-28 23:29:50,365 |    INFO | root | Waarom moeten wij ze ruïneren?
2025-07-28 23:29:50,365 |    INFO | root | Waarom moeten wij ze ruïneren?
2025-07-28 23:29:50,419 |    INFO | root | We moeten allerlei obstakels wegmenen.
2025-07-28 23:29:50,419 |    INFO | root | We moeten allerlei obstakels wegnemen.
2025-07-28 23:29:50,419 |   ERROR | root | Processing validation:  99%|#########9| 11178/11252 [17:22<00:06, 12.03it/s]
2025-07-28 23:29:50,538 |    INFO | root | Persoon het blijft geloven dat er veel andere methode behalve sancties zijn.
2025-07-28 23:29:50,538 |    INFO | root | Persoonlijk blijf ik geloven dat er veel andere methoden behalve sancties zijn.
2025-07-28 23:29:50,618 |    INFO | root | Wij sluiten het debat af omdat het vraag nu is aangebroken.
2025-07-28 23:29:50,618 |    INFO | root | Wij sluiten het debat af omdat het vragenuur is aangebroken.
2025-07-28 23:29:50,618 |   ERROR | root | Processing validation:  99%|#########9| 11180/11252 [17:22<00:06, 11.36it/s]
2025-07-28 23:29:50,759 |    INFO | root | Door dit vertrouwen dalen de renten, wat een aanzienlijke verlichting voor uw begroting betekende.
2025-07-28 23:29:50,759 |    INFO | root | Door dit vertrouwen daalde de rente wat een aanzienlijke verlichting voor uw begroting betekende.
2025-07-28 23:29:50,821 |    INFO | root | Dat is geen komedie, dit is tragisch.
2025-07-28 23:29:50,821 |    INFO | root | Dit is geen komedie, dit is tragisch.
2025-07-28 23:29:50,821 |   ERROR | root | Processing validation:  99%|#########9| 11182/11252 [17:23<00:06, 10.87it/s]
2025-07-28 23:29:50,907 |    INFO | root | Het heeft niets te maken met zich op de bos te staan.
2025-07-28 23:29:50,907 |    INFO | root | Dit heeft niets te maken met zich op de borst slaan.
2025-07-28 23:29:51,025 |    INFO | root | Het mag duidelijk zijn dat dit een zeer gevoelig onderwerp is.
2025-07-28 23:29:51,025 |    INFO | root | Het mag duidelijk zijn dat dit een zeer gevoelig onderwerp is.
2025-07-28 23:29:51,025 |   ERROR | root | Processing validation:  99%|#########9| 11184/11252 [17:23<00:06, 10.53it/s]
2025-07-28 23:29:51,112 |    INFO | root | Het is schandalig dat dit punt van eigen dijs gehaald.
2025-07-28 23:29:51,112 |    INFO | root | Het is schandalig dat dit punt van de agenda is gehaald.
2025-07-28 23:29:51,232 |    INFO | root | En voert tot het zoverest concrete hervormingen door, met openheid, subsidiariteit en democratie.
2025-07-28 23:29:51,232 |    INFO | root | En voer tot het zover is concrete hervormingen door, met openheid, subsidiariteit en democratie.
2025-07-28 23:29:51,232 |   ERROR | root | Processing validation:  99%|#########9| 11186/11252 [17:23<00:06, 10.24it/s]
2025-07-28 23:29:51,317 |    INFO | root | Dit is een eeklattante schending van de internationale mensenrechten.
2025-07-28 23:29:51,317 |    INFO | root | Dit is een eclatante schending van de internationale mensenrechten.
2025-07-28 23:29:51,418 |    INFO | root | Daarmee wil men een nieuwe groei en werkgelegenheid strategie gaan invoeren.
2025-07-28 23:29:51,418 |    INFO | root | Daarmee wil men een nieuwe groei- en werkgelegenheidsstrategie gaan invoeren.
2025-07-28 23:29:51,418 |   ERROR | root | Processing validation:  99%|#########9| 11188/11252 [17:23<00:06, 10.40it/s]
2025-07-28 23:29:51,476 |    INFO | root | Eis dat dan, en doet dat uit alle macht!
2025-07-28 23:29:51,476 |    INFO | root | Eis dat dan, en doe dat uit alle macht.
2025-07-28 23:29:51,547 |    INFO | root | Meis wat het meer na twee met een hoog groeien.
2025-07-28 23:29:51,547 |    INFO | root | Maïs kan tot meer dan twee meter hoog groeien.
2025-07-28 23:29:51,547 |   ERROR | root | Processing validation:  99%|#########9| 11190/11252 [17:23<00:05, 11.53it/s]
2025-07-28 23:29:51,614 |    INFO | root | De deken van ze veel te waarom in de zomer.
2025-07-28 23:29:51,614 |    INFO | root | De deken vond ze veel te warm in de zomer.
2025-07-28 23:29:51,733 |    INFO | root | Racisme blijft nog vaak voorkomen, maar er is een kindering aan de gang.
2025-07-28 23:29:51,733 |    INFO | root | Racisme blijft nog vaak voorkomen, maar er is een kentering aan de gang.
2025-07-28 23:29:51,733 |   ERROR | root | Processing validation:  99%|#########9| 11192/11252 [17:24<00:05, 11.29it/s]
2025-07-28 23:29:51,832 |    INFO | root | De man weigen de meerdere kern aan het deena-onderzoek mee te werken.
2025-07-28 23:29:51,832 |    INFO | root | De man weigerde meerdere keren aan het DNA-onderzoek mee te werken.
2025-07-28 23:29:51,891 |    INFO | root | Er staan veel wens op de affichie.
2025-07-28 23:29:51,891 |    INFO | root | Er staan veel bands op de affiche.
2025-07-28 23:29:51,891 |   ERROR | root | Processing validation:  99%|#########9| 11194/11252 [17:24<00:04, 11.67it/s]
2025-07-28 23:29:51,985 |    INFO | root | Sorry, ik kon niet op mijn woorden vandaag.
2025-07-28 23:29:51,985 |    INFO | root | Sorry, ik kom niet op mijn woorden vandaag.
2025-07-28 23:29:52,063 |    INFO | root | De graag in zijn kaart komt volgende maand in de winkel.
2025-07-28 23:29:52,064 |    INFO | root | De grafische kaart komt volgende maand in de winkel.
2025-07-28 23:29:52,064 |   ERROR | root | Processing validation: 100%|#########9| 11196/11252 [17:24<00:04, 11.64it/s]
2025-07-28 23:29:52,119 |    INFO | root | Ze zaten stevig in het zame.
2025-07-28 23:29:52,119 |    INFO | root | Ze zaten stevig in het zadel.
2025-07-28 23:29:52,203 |    INFO | root | Het eis van de geletjes moet een snel tempo.
2025-07-28 23:29:52,203 |    INFO | root | Het ijs van de gletsjers smolt in sneltempo.
2025-07-28 23:29:52,203 |   ERROR | root | Processing validation: 100%|#########9| 11198/11252 [17:24<00:04, 12.34it/s]
2025-07-28 23:29:52,290 |    INFO | root | Met hoeveel zij huling?
2025-07-28 23:29:52,291 |    INFO | root | Moet hoeveel zijn jullie?
2025-07-28 23:29:52,417 |    INFO | root | Zo'n dingen kun je in een enthousiode die op zoeken.
2025-07-28 23:29:52,417 |    INFO | root | Zo'n dingen kun je in een encyclopedie opzoeken.
2025-07-28 23:29:52,417 |   ERROR | root | Processing validation: 100%|#########9| 11200/11252 [17:24<00:04, 11.25it/s]
2025-07-28 23:29:52,484 |    INFO | root | Ze dronken de melk en vielen in slaap.
2025-07-28 23:29:52,484 |    INFO | root | Ze dronken de melk en vielen in slaap.
2025-07-28 23:29:52,536 |    INFO | root | De wakens aten uit een troch.
2025-07-28 23:29:52,536 |    INFO | root | De varkens aten uit een trog.
2025-07-28 23:29:52,536 |   ERROR | root | Processing validation: 100%|#########9| 11202/11252 [17:24<00:04, 12.50it/s]
2025-07-28 23:29:52,650 |    INFO | root | Ze vakken een deukender dat hij zijn dure i-vone uit vanuit had laten vallen.
2025-07-28 23:29:52,650 |    INFO | root | Ze lag in een deuk nadat hij zijn dure iPhone in het toilet had laten vallen.
2025-07-28 23:29:52,743 |    INFO | root | Zij wij het doel dan maar het top nog in het fabule bedrijven natuurlijk aan.
2025-07-28 23:29:52,744 |    INFO | root | Zij werkt fulltime, maar helpt toch nog in het familiebedrijf in het weekend.
2025-07-28 23:29:52,744 |   ERROR | root | Processing validation: 100%|#########9| 11204/11252 [17:25<00:04, 11.48it/s]
2025-07-28 23:29:52,802 |    INFO | root | Het voorbeeld was niet echt waardevol.
2025-07-28 23:29:52,802 |    INFO | root | Het voorwerp was niet echt waardevol.
2025-07-28 23:29:52,898 |    INFO | root | De laatmonietal was vrij beschadigd.
2025-07-28 23:29:52,898 |    INFO | root | De LED monitor was vrij beschadigd.
2025-07-28 23:29:52,898 |   ERROR | root | Processing validation: 100%|#########9| 11206/11252 [17:25<00:03, 11.89it/s]
2025-07-28 23:29:53,004 |    INFO | root | Het fruitlag op een prominenten plekende winkel.
2025-07-28 23:29:53,004 |    INFO | root | Het fruit lag op een prominente plek in de winkel.
2025-07-28 23:29:53,223 |    INFO | root | Stikstofmonen ook zullen een stikstofdioxide zijn twee stoffen die gevaarlijk kunnen zijn voor de gezondheid, en die worden uitgestoot door dieselwagens.
2025-07-28 23:29:53,223 |    INFO | root | Stikstofmonoxide en stikstofdioxide zijn twee stoffen die gevaarlijk kunnen zijn voor de gezondheid en die worden uitgestoten door dieselwagens.
2025-07-28 23:29:53,223 |   ERROR | root | Processing validation: 100%|#########9| 11208/11252 [17:25<00:04,  9.29it/s]
2025-07-28 23:29:53,305 |    INFO | root | In de zomer genieten ze vaak van een kokteel op interals.
2025-07-28 23:29:53,305 |    INFO | root | In de zomer genieten ze vaak van een cocktail op hun terras.
2025-07-28 23:29:53,371 |    INFO | root | Er kan mogen iemand langzond huis te schatten.
2025-07-28 23:29:53,371 |    INFO | root | Er komt morgen iemand langs om ons huis te schatten.
2025-07-28 23:29:53,371 |   ERROR | root | Processing validation: 100%|#########9| 11210/11252 [17:25<00:04, 10.25it/s]
2025-07-28 23:29:53,434 |    INFO | root | De maatroze mogen eerder van woord.
2025-07-28 23:29:53,434 |    INFO | root | De matrozen mogen eerder van boord.
2025-07-28 23:29:53,544 |    INFO | root | Er was bijna geen volk in het pretpark, dus mochten we tweemaal naar elkaar daardoor doen.
2025-07-28 23:29:53,544 |    INFO | root | Er was bijna geen volk in het pretpark dus mochten we tweemaal na elkaar de rit doen.
2025-07-28 23:29:53,544 |   ERROR | root | Processing validation: 100%|#########9| 11212/11252 [17:25<00:03, 10.61it/s]
2025-07-28 23:29:53,614 |    INFO | root | Sorry, maar die bewering vind ik toch wel belachelijk.
2025-07-28 23:29:53,614 |    INFO | root | Sorry, maar die bewering vind ik toch wel belachelijk.
2025-07-28 23:29:53,724 |    INFO | root | Oustralië en nieuw zeeland liggen beide in oceanen.
2025-07-28 23:29:53,724 |    INFO | root | Australië en Nieuw Zeeland liggen beide in Oceanië.
2025-07-28 23:29:53,724 |   ERROR | root | Processing validation: 100%|#########9| 11214/11252 [17:26<00:03, 10.76it/s]
2025-07-28 23:29:53,792 |    INFO | root | Deze wonen trouw is krimilig.
2025-07-28 23:29:53,792 |    INFO | root | Deze wollen trui is kriebelig.
2025-07-28 23:29:53,929 |    INFO | root | Er lach op de heden tafel tofij, het was verschrikkelijk plakkerig.
2025-07-28 23:29:53,929 |    INFO | root | Er lag op de hele tafel toffee, het was verschrikkelijk plakkerig.
2025-07-28 23:29:53,929 |   ERROR | root | Processing validation: 100%|#########9| 11216/11252 [17:26<00:03, 10.44it/s]
2025-07-28 23:29:54,022 |    INFO | root | Mijn dansen kan elke naar buiten om het boodschap is te doen.
2025-07-28 23:29:54,022 |    INFO | root | Meneer Jansen kwam elke naar buiten om wat boodschapjes te doen.
2025-07-28 23:29:54,092 |    INFO | root | De mond belang is de hoogste bergen in de open.
2025-07-28 23:29:54,092 |    INFO | root | De Mont Blanc is de hoogste berg in de Alpen.
2025-07-28 23:29:54,092 |   ERROR | root | Processing validation: 100%|#########9| 11218/11252 [17:26<00:03, 10.92it/s]
2025-07-28 23:29:54,131 |    INFO | root | Zij dat wel kopen.
2025-07-28 23:29:54,131 |    INFO | root | Zou je dat wel kopen?
2025-07-28 23:29:54,202 |    INFO | root | De inmiddels bronblok naar iedereen gestuurt.
2025-07-28 23:29:54,202 |    INFO | root | De email was per ongeluk naar iedereen gestuurd.
2025-07-28 23:29:54,202 |   ERROR | root | Processing validation: 100%|#########9| 11220/11252 [17:26<00:02, 12.41it/s]
2025-07-28 23:29:54,301 |    INFO | root | Zondanks brunt je altijd met onze ouders.
2025-07-28 23:29:54,301 |    INFO | root | 's zondags brunchen we altijd met onze ouders.
2025-07-28 23:29:54,388 |    INFO | root | Kan ik een prijs op gaven krijgen?
2025-07-28 23:29:54,388 |    INFO | root | Kan ik een prijsopgave krijgen?
2025-07-28 23:29:54,388 |   ERROR | root | Processing validation: 100%|#########9| 11222/11252 [17:26<00:02, 11.87it/s]
2025-07-28 23:29:54,446 |    INFO | root | Op het broodje zat hem in kaas.
2025-07-28 23:29:54,446 |    INFO | root | Op het broodje zat ham en kaas.
2025-07-28 23:29:54,566 |    INFO | root | Toen we naar die bergen trokken, moeten we ook die kloof oversteken via een hangbrug.
2025-07-28 23:29:54,566 |    INFO | root | Toen we naar die berghut trokken moesten we ook die kloof oversteken via een hangbrug.
